category,filename,width,height,mode,sha256,meaningful_edge_pixels
fauna,Eel.png,440,440,RGBA,a8d5ef18158f8459452407658ed88a8cb5c15e3157d594a4924b0e02573b5952,1760
fauna,Egret.png,440,440,RGBA,44aec1fdfbba1dfedcb95951ad460697cb0d1758a5745cf932f963fb29f5650d,1760
fauna,Eider_Duck.png,440,440,RGBA,9fe001148201345fbab3260a497166874b196f241284090705586954adef920d,1760
fauna,Eland.png,440,440,RGBA,9293712560ddec83225b36b725d224dab110ed62b587b282b105f6beb8a63bbc,1760
fauna,Electric_Eel.png,440,440,RGBA,c93138237edd68cee717a3bb88bbecb9ddd53d37f0b73852ab91e0f8e54b0cae,1760
fauna,Elephant.png,440,440,RGBA,fce270318a34ff4276230aac2b8145ce9dfedecb192d31ae8053b7eca481657f,1760
fauna,Elk.png,440,440,RGBA,5e01112cb86b57d4193a083905a9674319c4192e65bd765e4739c5c9cf15c0ff,1760
fauna,Emu.png,440,440,RGBA,8be33316a0a033edd5eb46fed2bb9570998e72edb4e2c76df4717653bf1e950b,1760
fauna,Fairy_Shrimp.png,440,440,RGBA,116ac4a4b8ebbd326dd01f96fae132b981c41a2312e97fcc54302c72b63bed7e,1760
fauna,Falcon.png,440,440,RGBA,715b8917b13cb8af4cc2dd002286a04ea5f95fec31e46f36c2c7b6aa04ef01b1,1760
fauna,Fangtooth.png,440,440,RGBA,c964f51f91cd79c57b9f317bc81a75f6df173d9bd281cb7539837631d5988dce,1760
fauna,Fennec_Fox.png,440,440,RGBA,4c1be2a032625d235f512f6cecefc0114fd47cfa405c88940f1356b93f820241,1760
fauna,Fiddler_Crab.png,440,440,RGBA,4a712a5a9f33a32eb2e9675ac42c4d4bb342b8558a15d86e90e0fa411b04cba4,1760
fauna,Finch.png,440,440,RGBA,94651f4f9f99c3ecea99e5e0f26ae40f13dba2ee345db95e386df6354b0def16,1760
fauna,Firefly.png,440,440,RGBA,7a64e81237d3d48207eea514261636ddc3c283d8fda0c582cf4b04b59bae9ab7,1760
fauna,Fisher.png,440,440,RGBA,b9d9635bb32d03d8be0413443527329f48243ce0cc44367065cd707628634645,1760
fauna,Fishing_Cat.png,440,440,RGBA,06e16cfd80768b15205cb2ab9587d4cecd6cf323caec526e1fb3dbef7b33accb,1760
fauna,Flamingo.png,440,440,RGBA,8f470327128eb72164f80bf9add82b420f7fa6c82a5780f7346c992966890ee8,1760
fauna,Flatworm.png,440,440,RGBA,e4728332a7ac167ed56fbbcb762074475a9e322bd08057bf4b55003c94dd6604,1760
fauna,Flounder.png,440,440,RGBA,d7064516d0e6615eb751630e97846cd38f727ce755bd98e9805653f6a3cce3d5,1760
fauna,Fly.png,440,440,RGBA,3f68a0e5b83198a439b5fdc8a852c195c9d59145bdb1f9b8b730b58baed0029b,1760
fauna,Fly_Larvae.png,440,440,RGBA,0bff8ad7f377b08ca61e3501b969137f259111816fb380a224bf53b09c313c05,1760
fauna,Flying_Fish.png,440,440,RGBA,c38ff7e15c193f93007ff3ece64aec0016f80a863807f1e4bea8899d981a1ea7,1760
fauna,Flying_Gurnard.png,440,440,RGBA,8f84d4a7619982da69ce094980bba87ca91120a89b7081dba549452849dcebff,1760
fauna,Flying_Squirrel.png,440,440,RGBA,4e0ed6dd64abcb630c6d1870c18d55207bbcf6763bb1b0ee87878ce713a5e98b,1760
fauna,Forest_Elephant.png,440,440,RGBA,277444cc7f1b2bdd10f9eb52a0e7c899dc092a602ec164a5164112a8f1844282,1760
fauna,Fox.png,440,440,RGBA,9f7d8ea957fabbe63a1e623a7b5d79a1858165be8b2a3c0594ceb16d0e603f18,1760
fauna,Freshwater_Crab.png,440,440,RGBA,46cc2d0509ab5e1bb903f68978df8a5eac281bdf95286f7894f3718308dc5d37,1760
fauna,Freshwater_Shrimp.png,440,440,RGBA,1fefefb65132ac7a39bf2c51d1c9d3d778c7741a791e784d500d7f1452d12ec4,1760
fauna,Freshwater_Snail.png,440,440,RGBA,dc28b0d469634bc9a6c0448290f74e704cc85717282f964959fe634f2804849a,1760
fauna,Frigatebird.png,440,440,RGBA,ae44004b2618e7d25d8ad6a6421028b954cebdb2f4d805beff5659b71ad11ba1,1760
fauna,Frilled_Lizard.png,440,440,RGBA,5b119258e84274f61667b1a185d9112c1d12afebc47ca32776c0ac5d4e71b1ae,1760
fauna,Frog.png,440,440,RGBA,0f83fbf5b464da22cf5143e934fe1d663927cd664cdf5f7718058b971e8acf61,1760
fauna,Fruit_Bat.png,440,440,RGBA,6b73b404db6cd0a4eaae4a38ed013ec75cbe51e85a5bf33f01d07cf6b5e6b3e7,1760
